"filename", "language", "SCSS", "PHP", "JavaScript", "HTML", "JSON", "vue", "comment", "blank", "total"
"c:\laragon\www\telexperticia\resources\views\app\medical_boards\create.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 6, 80
"c:\laragon\www\telexperticia\resources\views\app\medical_boards\edit.blade.php", "PHP", 0, 125, 0, 0, 0, 0, 0, 15, 140
"c:\laragon\www\telexperticia\resources\views\app\medical_boards\form-inputs.blade.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 8, 76
"c:\laragon\www\telexperticia\resources\views\app\medical_boards\index.blade.php", "PHP", 0, 127, 0, 0, 0, 0, 0, 11, 138
"c:\laragon\www\telexperticia\resources\views\app\medical_boards\show.blade.php", "PHP", 0, 102, 0, 0, 0, 0, 0, 10, 112
"c:\laragon\www\telexperticia\resources\views\app\parameters\create.blade.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 7, 77
"c:\laragon\www\telexperticia\resources\views\app\parameters\edit.blade.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 6, 71
"c:\laragon\www\telexperticia\resources\views\app\parameters\form-inputs.blade.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\laragon\www\telexperticia\resources\views\app\parameters\index.blade.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 14, 105
"c:\laragon\www\telexperticia\resources\views\app\parameters\show.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 6, 45
"c:\laragon\www\telexperticia\resources\views\app\patients\create.blade.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 9, 79
"c:\laragon\www\telexperticia\resources\views\app\patients\edit.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 9, 83
"c:\laragon\www\telexperticia\resources\views\app\patients\form-inputs.blade.php", "PHP", 0, 96, 0, 0, 0, 0, 0, 11, 107
"c:\laragon\www\telexperticia\resources\views\app\patients\index.blade.php", "PHP", 0, 142, 0, 0, 0, 0, 0, 6, 148
"c:\laragon\www\telexperticia\resources\views\app\patients\show.blade.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\laragon\www\telexperticia\resources\views\app\permissions\create.blade.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 8, 78
"c:\laragon\www\telexperticia\resources\views\app\permissions\edit.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 9, 83
"c:\laragon\www\telexperticia\resources\views\app\permissions\form-inputs.blade.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\laragon\www\telexperticia\resources\views\app\permissions\index.blade.php", "PHP", 0, 141, 0, 0, 0, 0, 0, 7, 148
"c:\laragon\www\telexperticia\resources\views\app\permissions\show.blade.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\laragon\www\telexperticia\resources\views\app\records\create.blade.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 6, 79
"c:\laragon\www\telexperticia\resources\views\app\records\edit.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 8, 82
"c:\laragon\www\telexperticia\resources\views\app\records\form-inputs.blade.php", "PHP", 0, 101, 0, 0, 0, 0, 0, 11, 112
"c:\laragon\www\telexperticia\resources\views\app\records\index.blade.php", "PHP", 0, 129, 0, 0, 0, 0, 0, 8, 137
"c:\laragon\www\telexperticia\resources\views\app\records\show.blade.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 6, 64
"c:\laragon\www\telexperticia\resources\views\app\reports\create.blade.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 6, 42
"c:\laragon\www\telexperticia\resources\views\app\reports\edit.blade.php", "PHP", 0, 123, 0, 0, 0, 0, 0, 6, 129
"c:\laragon\www\telexperticia\resources\views\app\reports\form-inputs.blade.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 6, 58
