Date : 2021-06-01 01:31:50
Directory : c:\laragon\www\telexperticia
Total : 2246 files,  337091 codes, 37413 comments, 36099 blanks, all 410603 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\advlist\index.js                                  | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\advlist\plugin.js                                 | JavaScript   |        277 |          8 |         13 |        298 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\advlist\plugin.min.js                             | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\anchor\index.js                                   | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\anchor\plugin.js                                  | JavaScript   |        129 |          8 |         10 |        147 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\anchor\plugin.min.js                              | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autolink\index.js                                 | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autolink\plugin.js                                | JavaScript   |        176 |          8 |          8 |        192 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autolink\plugin.min.js                            | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autoresize\index.js                               | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autoresize\plugin.js                              | JavaScript   |        169 |          8 |         12 |        189 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autoresize\plugin.min.js                          | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autosave\index.js                                 | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autosave\plugin.js                                | JavaScript   |        205 |          8 |         18 |        231 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\autosave\plugin.min.js                            | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\bbcode\index.js                                   | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\bbcode\plugin.js                                  | JavaScript   |         89 |          8 |          7 |        104 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\bbcode\plugin.min.js                              | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\charmap\index.js                                  | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\charmap\plugin.js                                 | JavaScript   |      1,664 |          8 |         24 |      1,696 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\charmap\plugin.min.js                             | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\code\index.js                                     | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\code\plugin.js                                    | JavaScript   |         83 |          8 |          9 |        100 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\code\plugin.min.js                                | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\codesample\index.js                               | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\codesample\plugin.js                              | JavaScript   |      1,738 |          8 |         21 |      1,767 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\codesample\plugin.min.js                          | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\colorpicker\index.js                              | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\colorpicker\plugin.js                             | JavaScript   |         10 |          8 |          5 |         23 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\colorpicker\plugin.min.js                         | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\contextmenu\index.js                              | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\contextmenu\plugin.js                             | JavaScript   |         10 |          8 |          5 |         23 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\contextmenu\plugin.min.js                         | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\directionality\index.js                           | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\directionality\plugin.js                          | JavaScript   |        286 |          8 |         21 |        315 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\directionality\plugin.min.js                      | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\emoticons\index.js                                | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\emoticons\js\emojis.js                            | JavaScript   |      9,014 |          1 |          0 |      9,015 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\emoticons\js\emojis.min.js                        | JavaScript   |          1 |          1 |          0 |          2 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\emoticons\plugin.js                               | JavaScript   |        570 |          8 |         25 |        603 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\emoticons\plugin.min.js                           | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\fullpage\index.js                                 | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\fullpage\plugin.js                                | JavaScript   |        543 |          8 |         18 |        569 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\fullpage\plugin.min.js                            | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\fullscreen\index.js                               | JavaScript   |          1 |          6 |          0 |          7 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\fullscreen\plugin.js                              | JavaScript   |      1,136 |          8 |         49 |      1,193 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\fullscreen\plugin.min.js                          | JavaScript   |          1 |          8 |          0 |          9 |
| c:\laragon\www\telexperticia\public\assets\plugins\tinymce\plugins\help\index.js                                     | JavaScript   |          1 |          6 |          0 |          7 |
