Date : 2021-06-01 01:31:50
Directory : c:\laragon\www\telexperticia
Total : 2246 files,  337091 codes, 37413 comments, 36099 blanks, all 410603 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\book-open.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\book.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\bookmark.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\box.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\briefcase.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\calendar.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\camera-off.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\camera.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\cast.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\check-circle.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\check-square.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\check.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chevron-down.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chevron-left.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chevron-right.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chevron-up.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chevrons-down.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chevrons-left.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chevrons-right.svg                            | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chevrons-up.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\chrome.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\circle.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\clipboard.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\clock.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\cloud-drizzle.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\cloud-lightning.svg                           | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\cloud-off.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\cloud-rain.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\cloud-snow.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\cloud.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\code.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\codepen.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\codesandbox.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\coffee.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\columns.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\command.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\compass.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\copy.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\corner-down-left.svg                          | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\corner-down-right.svg                         | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\corner-left-down.svg                          | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\corner-left-up.svg                            | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\corner-right-down.svg                         | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\corner-right-up.svg                           | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\corner-up-left.svg                            | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\corner-up-right.svg                           | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\cpu.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\credit-card.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\crop.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\crosshair.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\database.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\delete.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\disc.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\divide-circle.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\divide-square.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\divide.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\dollar-sign.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\download-cloud.svg                            | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\download.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\dribbble.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\droplet.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\edit-2.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\edit-3.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\edit.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\external-link.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\eye-off.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\eye.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\facebook.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\fast-forward.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\feather.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\figma.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\file-minus.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\file-plus.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\file-text.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\file.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\film.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\filter.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\flag.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\folder-minus.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\folder-plus.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\folder.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\framer.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\frown.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\gift.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\git-branch.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\git-commit.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\git-merge.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\git-pull-request.svg                          | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\github.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\gitlab.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\globe.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\grid.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\hard-drive.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\hash.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\headphones.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\heart.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\help-circle.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\hexagon.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\home.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\image.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\inbox.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\info.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\instagram.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\italic.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\key.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\layers.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\layout.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\life-buoy.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\link-2.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\link.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\linkedin.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\list.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\loader.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\lock.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\log-in.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\log-out.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\mail.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\map-pin.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\map.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\maximize-2.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\maximize.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\meh.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\menu.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\message-circle.svg                            | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\message-square.svg                            | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\mic-off.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\mic.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\minimize-2.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\minimize.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\minus-circle.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\minus-square.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\minus.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\monitor.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\moon.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\more-horizontal.svg                           | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\more-vertical.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\mouse-pointer.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\move.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\music.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\navigation-2.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\navigation.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\octagon.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\package.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\paperclip.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\pause-circle.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\pause.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\pen-tool.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\percent.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\phone-call.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\phone-forwarded.svg                           | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\phone-incoming.svg                            | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\phone-missed.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\phone-off.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\phone-outgoing.svg                            | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\phone.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\pie-chart.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\play-circle.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\play.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\plus-circle.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\plus-square.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\plus.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\pocket.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\power.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\printer.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\radio.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\refresh-ccw.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\refresh-cw.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\repeat.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\rewind.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\rotate-ccw.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\rotate-cw.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\rss.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\save.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\scissors.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\search.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\send.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\server.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\settings.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\share-2.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\share.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\shield-off.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\shield.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\shopping-bag.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\shopping-cart.svg                             | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\shuffle.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\sidebar.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\skip-back.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\skip-forward.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\slack.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\slash.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\sliders.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\smartphone.svg                                | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\smile.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\speaker.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\square.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\star.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\stop-circle.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\sun.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\sunrise.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\sunset.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\tablet.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\tag.svg                                       | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\target.svg                                    | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\terminal.svg                                  | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\thermometer.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\thumbs-down.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\thumbs-up.svg                                 | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\toggle-left.svg                               | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\toggle-right.svg                              | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\tool.svg                                      | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\trash-2.svg                                   | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\trash.svg                                     | XML          |          1 |          0 |          0 |          1 |
| c:\laragon\www\telexperticia\public\assets\plugins\feather-icons\icons\trello.svg                                    | XML          |          1 |          0 |          0 |          1 |
